Date,From_Community,Maximum_Temperature,Minimum_Temperature,Average_Temperature,Temperature_Range,Total_Precipitation,Total_Snow,Average_Humidity,Maximum_Wind_Speed
2014-01-01,ALBANY PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,ARMOUR SQUARE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,AUSTIN,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,AVALON PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,AVONDALE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,BRIDGEPORT,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,CHATHAM,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,DOUGLAS,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,EAST GARFIELD PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,EDGEWATER,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,ENGLEWOOD,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,FULLER PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,GRAND BOULEVARD,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,GREATER GRAND CROSSING,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,HERMOSA,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,HUMBOLDT PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,HYDE PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,IRVING PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,KENWOOD,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LAKE VIEW,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LINCOLN PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LINCOLN SQUARE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LOGAN SQUARE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LOOP,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,LOWER WEST SIDE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,MCKINLEY PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NEAR NORTH SIDE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NEAR SOUTH SIDE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NEAR WEST SIDE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NEW CITY,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NORTH CENTER,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NORTH LAWNDALE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,NORTH PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,PORTAGE PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,ROGERS PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,SOUTH CHICAGO,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,SOUTH LAWNDALE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,SOUTH SHORE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,UPTOWN,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WASHINGTON PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WEST ENGLEWOOD,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WEST GARFIELD PARK,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WEST RIDGE,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WEST TOWN,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-01,WOODLAWN,21.2,13,17.1,8.2,0.39,6.5,94,18
2014-01-02,ALBANY PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,ARMOUR SQUARE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,AUSTIN,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,AVALON PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,AVONDALE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,BRIDGEPORT,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,CHATHAM,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,DOUGLAS,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,EAST GARFIELD PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,EDGEWATER,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,ENGLEWOOD,20.1,15.7,17.9,4.4,0.17,2.6,92,20
